Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80623I72700K,Intel,Core i7-2700K,212,74.9,18455,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985
CPU,,Intel,Core i5-4670S,213,74.6,1108,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz
CPU,,Intel,Xeon E3-1270 V2,214,74.6,2177,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz
CPU,BX80623I72600K,Intel,Core i7-2600K,215,74.5,121787,https://cpu.userbenchmark.com/Intel-Core-i7-2600K/Rating/621
CPU,BX80662I56600,Intel,Core i5-6600,216,74.5,70493,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514
CPU,,Intel,Xeon E3-1275 V2,217,74.5,288,https://cpu.userbenchmark.com/SpeedTest/4507/IntelR-XeonR-CPU-E3-1275-V2---350GHz
CPU,,Intel,Core i7-4790S,218,74.5,10641,https://cpu.userbenchmark.com/SpeedTest/13424/IntelR-CoreTM-i7-4790S-CPU---320GHz
CPU,,Intel,Xeon E3-1240 v3,219,74.5,1959,https://cpu.userbenchmark.com/SpeedTest/4602/IntelR-XeonR-CPU-E3-1240-v3---340GHz
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,220,74.5,6281,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz
CPU,BX80633I74820K,Intel,Core i7-4820K,221,74.4,16540,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675
CPU,BX80646E31231V3,Intel,Xeon E3-1231 v3,222,74.4,14513,https://cpu.userbenchmark.com/SpeedTest/11040/IntelR-XeonR-CPU-E3-1231-v3---340GHz
CPU,YD160XBCAEWOF,AMD,Ryzen 5 1600X,223,74.3,114376,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600X/Rating/3920
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,224,74.3,18670,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,BX80637I73770,Intel,Core i7-3770,225,74.3,215219,https://cpu.userbenchmark.com/Intel-Core-i7-3770/Rating/1979
CPU,,Intel,Core i5-9300H,226,74.2,71256,https://cpu.userbenchmark.com/SpeedTest/744904/IntelR-CoreTM-i5-9300H-CPU---240GHz
CPU,,Intel,Core i7-4770S,227,74.2,9390,https://cpu.userbenchmark.com/SpeedTest/2123/IntelR-CoreTM-i7-4770S-CPU---310GHz
CPU,YD170XBCAEWOF,AMD,Ryzen 7 1700X,228,74.2,107956,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915
CPU,,Intel,Core i7-7820HK,229,74.2,13414,https://cpu.userbenchmark.com/SpeedTest/224965/IntelR-CoreTM-i7-7820HK-CPU---290GHz
CPU,,Intel,Core i7-1185G7,230,74.2,436,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz
CPU,,Intel,Core i7-1165G7,231,74.1,4518,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz
CPU,CL8068403373522,Intel,Core i5-8300H,232,74,118273,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz
CPU,BX80646I54590,Intel,Core i5-4590,233,73.9,112773,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604
CPU,,Intel,Xeon E5-2690 v2,234,73.8,611,https://cpu.userbenchmark.com/SpeedTest/13436/IntelR-XeonR-CPU-E5-2690-v2---300GHz
CPU,,Intel,Core i5-3570,235,73.8,74510,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz
CPU,,Intel,Core i5-6600T,236,73.7,763,https://cpu.userbenchmark.com/SpeedTest/37851/IntelR-CoreTM-i5-6600T-CPU---270GHz
CPU,BX80677I77700T,Intel,Core i7-7700T,237,73.7,5275,https://cpu.userbenchmark.com/SpeedTest/232624/IntelR-CoreTM-i7-7700T-CPU---290GHz
CPU,,Intel,Xeon E3-1245 v3,238,73.7,2127,https://cpu.userbenchmark.com/SpeedTest/4697/IntelR-XeonR-CPU-E3-1245-v3---340GHz
CPU,,Intel,Core i7 970,239,73.4,3134,https://cpu.userbenchmark.com/SpeedTest/8374/IntelR-CoreTM-i7-CPU---------970----320GHz
CPU,,Intel,Core i7-8705G,240,73.3,4789,https://cpu.userbenchmark.com/SpeedTest/453718/IntelR-CoreTM-i7-8705G-CPU---310GHz
CPU,,Intel,Xeon E3-1245 V2,241,73.3,1534,https://cpu.userbenchmark.com/SpeedTest/5622/IntelR-XeonR-CPU-E3-1245-V2---340GHz
CPU,,Intel,Xeon E3-1220 v5,242,73.3,849,https://cpu.userbenchmark.com/SpeedTest/139116/IntelR-XeonR-CPU-E3-1220-v5---300GHz
CPU,,Intel,Xeon E3-1226 v3,243,73.2,1528,https://cpu.userbenchmark.com/SpeedTest/18482/IntelR-XeonR-CPU-E3-1226-v3---330GHz
CPU,,Intel,Xeon E3-1240 V2,244,73.2,3058,https://cpu.userbenchmark.com/SpeedTest/5484/IntelR-XeonR-CPU-E3-1240-V2---340GHz
CPU,,Intel,Xeon E3-1265L v3,245,73.2,112,https://cpu.userbenchmark.com/SpeedTest/20266/IntelR-XeonR-CPU-E3-1265L-v3---250GHz
CPU,,Intel,Xeon X5660,246,73,5090,https://cpu.userbenchmark.com/SpeedTest/17750/IntelR-XeonR-CPU-----------X5660----280GHz
CPU,,Intel,Core i5-3550,247,73,18001,https://cpu.userbenchmark.com/SpeedTest/846/IntelR-CoreTM-i5-3550-CPU---330GHz
CPU,,Intel,Xeon E5-1620 v2,248,72.9,6808,https://cpu.userbenchmark.com/SpeedTest/8354/IntelR-XeonR-CPU-E5-1620-v2---370GHz
CPU,,Intel,Core i7-3820,249,72.8,33865,https://cpu.userbenchmark.com/SpeedTest/739/IntelR-CoreTM-i7-3820-CPU---360GHz
CPU,100-000000105,AMD,Ryzen 5 4600U,250,72.8,215,https://cpu.userbenchmark.com/SpeedTest/1152158/AMD-Ryzen-5-4600U-with-Radeon-Graphics
CPU,,Intel,Core i5-1135G7,251,72.8,3189,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz
CPU,BX80646I54570,Intel,Core i5-4570,252,72.8,92252,https://cpu.userbenchmark.com/Intel-Core-i5-4570/Rating/2770
CPU,,Intel,Core i7-10710U,253,72.7,3755,https://cpu.userbenchmark.com/SpeedTest/900004/IntelR-CoreTM-i7-10710U-CPU---110GHz
CPU,,Intel,Xeon E3-1230 V2,254,72.7,6234,https://cpu.userbenchmark.com/SpeedTest/652/IntelR-XeonR-CPU-E3-1230-V2---330GHz
CPU,,Intel,Xeon E31270,255,72.3,2173,https://cpu.userbenchmark.com/SpeedTest/5604/IntelR-XeonR-CPU-E31270---340GHz
